Device type,Device function,IP Address,Visible IP Address,OS Type,OS Version,Hostname(s),MAC Address,Manufacturer,First Seen,Last Seen
Server,Server,192.168.7.5,159.100.175.51,Linux,Debian,,80:18:44:e7:73:98,Dell Inc.,9/29/2025 21:23,3/19/2026 15:54
Server,Server,192.168.7.16,159.100.175.51,Linux,Debian,,d4:f5:ef:91:53:a4,Hewlett Packard Enterprise,9/29/2025 21:23,3/19/2026 15:54
Server,Server,192.168.7.20,159.100.175.51,Linux,Ubuntu,,d0:50:99:d0:c5:f6,ASRock Incorporation,9/29/2025 19:21,3/19/2026 15:54
Server,Server,192.168.7.26,159.100.175.51,Linux,Red Hat,,50:9a:4c:a2:09:53,Dell Inc.,9/29/2025 21:23,3/19/2026 15:54
Workstation,Workstation,192.168.7.45,159.100.175.51,Windows,Windows 10,,00:60:e0:9f:84:c0,"AXIOM TECHNOLOGY CO., LTD.",9/29/2025 21:23,3/19/2026 15:54
Workstation,Workstation,192.168.7.43,159.100.175.51,Windows,Windows 10,syr-itmgmt,00:0c:29:eb:a6:0a,"VMware, Inc.",12/19/2025 23:33,3/19/2026 15:54
Server,Server,192.168.7.57,159.100.175.51,Linux,Debian,,d0:50:99:e2:7c:41,ASRock Incorporation,9/29/2025 21:23,3/19/2026 15:54
Server,Server,192.168.7.64,159.100.175.51,Linux,Debian,,00:0c:29:a0:15:cd,"VMware, Inc.",9/29/2025 23:21,3/19/2026 15:54
Workstation,Workstation,192.168.7.46,159.100.175.51,Windows,Windows 10,,00:60:e0:9f:84:b3,"AXIOM TECHNOLOGY CO., LTD.",9/29/2025 21:23,3/19/2026 15:54
Server,Server,192.168.7.94,159.100.175.51,Linux,Ubuntu,,00:0c:29:c4:fa:2e,"VMware, Inc.",9/29/2025 21:23,3/19/2026 15:54
Server,Server,192.168.7.254,159.100.175.51,Linux,Red Hat,,d0:94:66:25:c1:34,Dell Inc.,9/29/2025 19:21,3/19/2026 15:43
Server,Server,10.0.104.71,98.173.24.130,Windows,Windows Server 2016 or 2019,,,,3/17/2026 21:32,3/17/2026 23:20
Workstation,Workstation,10.0.104.138,98.173.24.130,Windows,Windows 10,,,,3/17/2026 22:09,3/17/2026 22:09
Workstation,Workstation,10.0.104.218,98.173.24.130,Windows,Windows 10,,,,3/17/2026 20:33,3/17/2026 21:23
Workstation,Workstation,10.0.104.125,98.173.24.130,Windows,Windows 10,,,,3/17/2026 20:35,3/17/2026 21:23
